epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1714.96,0.84063,0.92505,0.89292,0.52149,0.35417,0.36509,0.25269,0.88491,1.02224,0.93399,0.00643101,0.00643101,0.00643101
43,1742.82,0.83902,0.91206,0.88646,0.55771,0.52799,0.40023,0.26539,0.89786,0.96508,0.93971,0.00628101,0.00628101,0.00628101
44,1771.1,0.85074,0.88727,0.90238,0.63719,0.56187,0.47141,0.34267,0.88887,0.95249,0.94103,0.00612981,0.00612981,0.00612981
45,1798.94,0.83001,0.8426,0.89498,0.716,0.42448,0.52734,0.40148,0.88283,0.99659,0.93649,0.00597754,0.00597754,0.00597754
46,1825.94,0.82729,0.84227,0.8857,0.61505,0.64583,0.48031,0.34439,0.83216,0.91204,0.92118,0.00582435,0.00582435,0.00582435
47,1855.06,0.82266,0.82974,0.87466,0.62834,0.55208,0.50462,0.34862,0.8175,0.88262,0.91967,0.0056704,0.0056704,0.0056704
48,1885.79,0.80224,0.83435,0.86176,0.74502,0.54981,0.54087,0.37816,0.8357,0.88566,0.92326,0.00551584,0.00551584,0.00551584
49,1916.01,0.77282,0.81661,0.85016,0.72674,0.64323,0.59692,0.44576,0.91285,0.92388,0.92761,0.00536081,0.00536081,0.00536081
50,1945.84,0.7823,0.79881,0.86922,0.7281,0.64323,0.63721,0.48132,0.97114,0.95252,0.93053,0.00520548,0.00520548,0.00520548
51,1975.21,0.80773,0.82959,0.86501,0.6387,0.72396,0.63907,0.49018,0.85666,0.9003,0.92706,0.00505,0.00505,0.00505
52,2004.3,0.83787,0.8221,0.87978,0.71463,0.59635,0.70584,0.53813,0.85327,0.86003,0.93079,0.00489452,0.00489452,0.00489452
53,2031.26,0.81279,0.78809,0.87174,0.79587,0.45707,0.708,0.54532,0.88592,0.8569,0.92922,0.00473919,0.00473919,0.00473919
54,2058.28,0.78854,0.75016,0.87771,0.66796,0.62165,0.69474,0.54637,0.83267,0.83781,0.91115,0.00458416,0.00458416,0.00458416
55,2084.81,0.76072,0.78023,0.85803,0.69116,0.61461,0.71352,0.59784,0.80935,0.82342,0.91012,0.0044296,0.0044296,0.0044296
56,2111.12,0.73438,0.76144,0.86461,0.7254,0.61056,0.71818,0.59247,0.77372,0.80576,0.90143,0.00427565,0.00427565,0.00427565
57,2138.82,0.75199,0.74578,0.86915,0.6817,0.5605,0.72961,0.62737,0.72378,0.79978,0.89431,0.00412246,0.00412246,0.00412246
58,2165.39,0.72415,0.72575,0.8606,0.72198,0.59375,0.75992,0.64456,0.72117,0.78929,0.89534,0.00397019,0.00397019,0.00397019
59,2191.71,0.773,0.8169,0.88744,0.84589,0.51679,0.76809,0.67113,0.72103,0.79882,0.89625,0.00381899,0.00381899,0.00381899
60,2218.49,0.73861,0.73134,0.8468,0.44985,0.86887,0.75069,0.62433,0.73414,0.81685,0.90174,0.00366899,0.00366899,0.00366899
61,2244.63,0.75839,0.73044,0.86205,0.46876,0.7481,0.74094,0.61757,0.74777,0.83096,0.90485,0.00352037,0.00352037,0.00352037
62,2289.63,0.72952,0.71285,0.85924,0.45671,0.76051,0.7151,0.60349,0.76094,0.83979,0.91103,0.00337325,0.00337325,0.00337325
63,2320.03,0.72019,0.73553,0.86352,0.42643,0.81788,0.66661,0.56019,0.73933,0.83607,0.89881,0.00322778,0.00322778,0.00322778
64,2347.85,0.71199,0.70328,0.85053,0.42572,0.86198,0.69985,0.5874,0.73521,0.84538,0.89708,0.00308412,0.00308412,0.00308412
65,2374.88,0.70007,0.69746,0.8573,0.42358,0.69792,0.69692,0.58683,0.76123,0.84295,0.9137,0.00294239,0.00294239,0.00294239
66,2401.92,0.69537,0.68177,0.84259,0.41931,0.89706,0.71662,0.6126,0.76409,0.87058,0.9119,0.00280275,0.00280275,0.00280275
67,2428.83,0.68588,0.66386,0.84625,0.42132,0.80158,0.73438,0.61393,0.77691,0.85395,0.91166,0.00266532,0.00266532,0.00266532
68,2456.1,0.72606,0.71024,0.87149,0.41125,0.84611,0.67227,0.55682,0.7601,0.81934,0.91079,0.00253024,0.00253024,0.00253024
69,2483.29,0.71314,0.67881,0.84793,0.4134,0.84132,0.67455,0.56466,0.75168,0.80932,0.91239,0.00239766,0.00239766,0.00239766
70,2509.92,0.70914,0.6576,0.84887,0.7471,0.56912,0.6136,0.49319,0.77581,0.83078,0.91402,0.00226769,0.00226769,0.00226769
71,2536.46,0.70777,0.64746,0.84259,0.61795,0.60417,0.55464,0.44337,0.78269,0.83139,0.9147,0.00214046,0.00214046,0.00214046
72,2564.6,0.68797,0.69095,0.84133,0.61467,0.51042,0.5608,0.46195,0.77015,0.80203,0.91385,0.00201611,0.00201611,0.00201611
73,2594.2,0.68969,0.67201,0.84032,0.66778,0.51562,0.70057,0.59139,0.75926,0.79634,0.90878,0.00189475,0.00189475,0.00189475
74,2623.21,0.73108,0.62984,0.85578,0.68669,0.51562,0.70549,0.58293,0.75464,0.79489,0.90631,0.00177651,0.00177651,0.00177651
75,2650.13,0.67596,0.65909,0.85237,0.71843,0.50781,0.67547,0.56792,0.76109,0.79979,0.90051,0.00166149,0.00166149,0.00166149
76,2677.41,0.63752,0.58659,0.84077,0.40617,0.79867,0.61159,0.5094,0.73287,0.77599,0.89211,0.00154982,0.00154982,0.00154982
77,2703.93,0.68041,0.63618,0.86069,0.39672,0.79472,0.6138,0.5246,0.72995,0.77996,0.89213,0.00144161,0.00144161,0.00144161
78,2730.38,0.64664,0.60118,0.83464,0.43137,0.80038,0.61655,0.53339,0.72206,0.756,0.89215,0.00133695,0.00133695,0.00133695
79,2757.71,0.64165,0.60727,0.842,0.45774,0.84232,0.6136,0.52733,0.71537,0.75616,0.89194,0.00123596,0.00123596,0.00123596
